Workflow;Node;Parameter;Issue
Books Commentary Worker;Claude Translation;JSON Body;Prompt en dur: ={   'model': 'claude-sonnet-4-20250514',   'max_tokens': 4096,   'messages': [     {       'role': ...

Books Translation Worker;Claude Translation;JSON Body;Prompt en dur: ={   'model': 'claude-sonnet-4-20250514',   'max_tokens': 2048,   'messages': [     {       'role': ...

LEARNING - Evaluate Photo;Evaluate Photo with Vision;JSON Body;Prompt en dur: ={   'model': 'claude-3-5-sonnet-20241022',   'max_tokens': 2048,   'messages': [     {       'role'...

LEARNING - Generate Course;Generate Course Structure;JSON Body;Prompt en dur: ={   'model': 'claude-3-haiku-20240307',   'max_tokens': 4096,   'messages': [     {       'role': '...

LEARNING - Generate Quiz;Generate Quiz Questions;JSON Body;Prompt en dur: ={   'model': 'claude-3-haiku-20240307',   'max_tokens': 4096,   'messages': [     {       'role': '...

MCP - Analyze Message;OpenAI Intent+Priority;JSON Body;Prompt en dur: ={   'model': 'gpt-4o-mini',   'response_format': { 'type': 'json_object' },   'messages': [     {  ...

MCP - Feedback Analyzer;OpenAI Analyze Feedback;JSON Body;Prompt en dur: ={   'model': 'gpt-4o-mini',   'response_format': { 'type': 'json_object' },   'messages': [     {  ...

MCP - Image Embedder;OpenAI Vision Embed;JSON Body;Prompt en dur: ={   'model': 'gpt-4o-mini',   'response_format': { 'type': 'json_object' },   'messages': [     {  ...

MCP - Language Detector;OpenAI Detect Language;JSON Body;Prompt en dur: ={   'model': 'gpt-4o-mini',   'response_format': { 'type': 'json_object' },   'messages': [     {  ...

MCP - Quiz Generator;OpenAI Generate Quiz;JSON Body;Prompt en dur: ={   'model': '{{ $json.body.model || 'gpt-4o' }}',   'response_format': { 'type': 'json_object' }, ...

MCP - Syllabus Generator;OpenAI Generate Syllabus;JSON Body;Prompt en dur: ={   'model': '{{ $json.body.model || 'gpt-4o' }}',   'response_format': { 'type': 'json_object' }, ...

MCP - Table Extractor;Mistral OCR;JSON Body;Prompt en dur: ={   'model': 'pixtral-12b-2409',   'messages': [     {       'role': 'user',       'content': [    ...

Recipes - Generate;Call Anthropic;JSON Body;Prompt en dur: ={   'model': 'claude-sonnet-4-20250514',   'max_tokens': 4096,   'messages': [     {       'role': ...
Recipes - Generate;Call OpenAI;JSON Body;Prompt en dur: ={   'model': 'gpt-4o',   'max_tokens': 4096,   'response_format': { 'type': 'json_object' },   'mes...

Recipes - YouTube;Extract Recipe (LLM);JSON Body;Prompt en dur: ={   'model': 'claude-sonnet-4-20250514',   'max_tokens': 4096,   'messages': [     {       'role': ...

SHOPPING---Product-Discovery-WebSearch;LLM Batch Reasoning;JSON Body;Prompt en dur: ={   'model': 'gpt-4o',   'temperature': 0.3,   'response_format': { 'type': 'json_object' },   'mes...
SHOPPING---Product-Discovery-WebSearch;Search Products (Parallel);JSON Body;Prompt en dur: ={   'model': 'gpt-4o-mini',   'temperature': 0.2,   'response_format': { 'type': 'json_object' },  ...

Torah Discord Translation Pivot;Claude Step 1: To English;JSON Body;Prompt en dur: ={   'model': '{{ $json.claudeModel }}',   'max_tokens': 2048,   'messages': [     {       'role': '...
Torah Discord Translation Pivot;Claude Step 2: To Target;JSON Body;Prompt en dur: ={   'model': '{{ $json.claudeModel }}',   'max_tokens': 2048,   'messages': [     {       'role': '...
Torah Discord Translation Pivot;Claude Direct Translation;JSON Body;Prompt en dur: ={   'model': '{{ $json.claudeModel }}',   'max_tokens': 2048,   'messages': [     {       'role': '...

Torah Translate Page Worker;Claude Translation;JSON Body;Prompt en dur: ={   'model': 'claude-sonnet-4-20250514',   'max_tokens': 2048,   'messages': [     {       'role': ...
